RC_ID,H3_count,Retail_N,Area_km2
RC_EW_3580,38,226,0.076122441
RC_EW_3588,45,141,0.090133868
RC_EW_36,106,386,0.220335339
RC_EW_3603,51,292,0.101741927
RC_EW_3604,23,186,0.045997102
RC_EW_3608,22,125,0.044009538
RC_EW_3615,19,126,0.038283606
RC_EW_3616,35,169,0.070398801
RC_EW_3620,25,139,0.050236395
RC_EW_3625,172,1098,0.34470017
RC_EW_3626,35,169,0.070276424
RC_EW_363,113,328,0.214569145
RC_EW_3631,24,72,0.048195556
RC_EW_3636,25,171,0.050304317
RC_EW_3638,127,26,0.254295108
RC_EW_3642,89,571,0.178557146
RC_EW_3644,140,23,0.279314882
RC_EW_3645,211,35,0.421497613
RC_EW_3646,182,621,0.363551388
RC_EW_3656,30,108,0.05993876
RC_EW_3659,25,232,0.049896156
RC_EW_3670,35,220,0.069879054
RC_EW_3682,123,154,0.245318723
RC_EW_3687,34,131,0.068172198
RC_EW_369,23,141,0.043792608
RC_EW_3693,34,127,0.068279602
RC_EW_3694,39,123,0.078288388
RC_EW_3695,18,133,0.03618358
RC_EW_3697,46,273,0.092334679
RC_EW_3699,33,125,0.066221177
RC_EW_3706,52,242,0.102344662
RC_EW_3707,160,28,0.314743135
RC_EW_3712,52,166,0.102404492
RC_EW_3716,116,737,0.228555921
RC_EW_3722,65,179,0.12833081
RC_EW_3723,76,480,0.1501576
RC_EW_3727,87,132,0.17157918
RC_EW_3732,57,156,0.111893123
RC_EW_3736,88,297,0.172379802
RC_EW_374,51,131,0.096854553
RC_EW_3741,79,173,0.155489992
RC_EW_3744,15,115,0.029684594
RC_EW_3747,32,170,0.063239087
RC_EW_3753,132,572,0.260075839
RC_EW_3754,23,146,0.045435183
RC_EW_3755,21,119,0.041605842
RC_EW_3759,89,371,0.175331534
RC_EW_3764,15,99,0.029629304
RC_EW_3767,65,310,0.128377906
RC_EW_3770,99,494,0.196004917
RC_EW_3773,93,233,0.183984402
RC_EW_3775,47,266,0.092843484
RC_EW_3781,86,272,0.170180293
RC_EW_3785,278,634,0.549618114
RC_EW_379,106,615,0.201488265
RC_EW_3797,72,189,0.142596528
RC_EW_3798,193,501,0.382185429
RC_EW_380,21,120,0.039962217
RC_EW_3800,34,195,0.06739611
RC_EW_3806,53,234,0.105466109
RC_EW_3813,19,104,0.037887891
RC_EW_3814,74,195,0.147132803
RC_EW_3816,81,251,0.160888751
RC_EW_3830,57,128,0.112726069
RC_EW_3831,17,113,0.033680445
RC_EW_3832,41,193,0.081159331
RC_EW_3834,65,276,0.128362826
RC_EW_3841,43,66,0.084938351
RC_EW_3851,176,390,0.347294977
RC_EW_3862,62,187,0.122873421
RC_EW_3864,31,139,0.061419744
RC_EW_3873,24,110,0.047898034
RC_EW_3875,67,236,0.133664821
RC_EW_3879,32,202,0.064034714
RC_EW_3883,32,126,0.063925199
RC_EW_3884,114,121,0.227387256
RC_EW_3885,49,213,0.097959986
RC_EW_3887,39,206,0.077791943
RC_EW_3888,50,167,0.099719511
RC_EW_3889,88,334,0.17544983
RC_EW_389,181,249,0.344867273
RC_EW_3890,29,118,0.057878255
RC_EW_3892,107,673,0.213724104
RC_EW_3893,30,216,0.059867526
RC_EW_3898,33,189,0.065948949
RC_EW_39,46,224,0.095413698
RC_EW_3903,25,166,0.050024856
RC_EW_391,26,148,0.049663965
RC_EW_3911,84,29,0.167272396
RC_EW_3917,127,401,0.253621152
RC_EW_3921,64,213,0.127809472
RC_EW_3927,51,227,0.100207733
RC_EW_393,87,160,0.16598542
RC_EW_3934,87,400,0.171593517
RC_EW_3939,93,502,0.182365417
RC_EW_394,51,186,0.097305472
RC_EW_3947,73,203,0.14319132
RC_EW_3949,115,311,0.224801661
RC_EW_3959,66,298,0.130568397
RC_EW_3961,62,282,0.122447704
RC_EW_3966,58,138,0.114465653
RC_EW_3969,34,224,0.067212947
RC_EW_3973,55,177,0.108529164
RC_EW_3980,108,295,0.213071949
RC_EW_3981,135,305,0.266426926
RC_EW_3984,77,191,0.151985889
RC_EW_3985,55,124,0.108667064
RC_EW_3989,114,514,0.224048436
RC_EW_3991,90,320,0.176713819
RC_EW_3999,148,218,0.291348104
RC_EW_400,301,436,0.57334096
RC_EW_4004,125,265,0.246166011
RC_EW_4011,42,135,0.082915375
RC_EW_4017,40,111,0.078766546
RC_EW_4024,127,596,0.251909297
RC_EW_4025,143,26,0.283386678
RC_EW_4027,148,376,0.291750351
RC_EW_403,169,178,0.321370561
RC_EW_4030,19,127,0.038439732
RC_EW_4031,35,198,0.070908969
RC_EW_4034,101,41,0.204046364
RC_EW_4042,119,634,0.240216841
RC_EW_4054,30,125,0.060726773
RC_EW_4058,16,140,0.032391484
RC_EW_4066,18,157,0.036741233
RC_EW_4070,53,447,0.108036063
RC_EW_4073,47,206,0.095724095
RC_EW_4074,16,110,0.032724449
RC_EW_4076,66,145,0.13470505
RC_EW_4079,29,198,0.059264502
RC_EW_4083,76,116,0.153187272
RC_EW_4089,40,312,0.080609977
RC_EW_409,354,856,0.673712525
RC_EW_4092,65,111,0.130788939
RC_EW_4099,17,114,0.034298322
RC_EW_4101,18,127,0.036421695
RC_EW_4105,35,115,0.07030464
RC_EW_4107,19,109,0.038275544
RC_EW_4111,48,211,0.096285064
RC_EW_4112,25,110,0.050246164
RC_EW_4117,123,121,0.2469776
RC_EW_4123,14,104,0.028136915
RC_EW_4129,58,240,0.116339043
RC_EW_4133,36,259,0.07262775
RC_EW_4137,16,116,0.032349448
RC_EW_4138,14,110,0.028262348
RC_EW_4142,80,353,0.161699432
RC_EW_4144,30,179,0.060739777
RC_EW_4146,42,173,0.085015412
RC_EW_4149,32,205,0.06497453
RC_EW_4152,17,120,0.034376053
RC_EW_4156,57,206,0.11487625
RC_EW_4157,56,230,0.113395953
RC_EW_4158,23,107,0.046885922
RC_EW_4159,49,105,0.099749164
RC_EW_416,72,231,0.137136436
RC_EW_4161,164,812,0.333690648
RC_EW_4172,109,257,0.221134766
RC_EW_418,132,28,0.25132479
RC_EW_4180,106,499,0.216472566
RC_EW_4181,55,120,0.11236679
RC_EW_4182,104,436,0.212468124
RC_EW_4189,53,280,0.10827666
RC_EW_4190,45,256,0.092147915
RC_EW_4193,55,248,0.112493576
RC_EW_4194,67,345,0.136370255
RC_EW_4195,39,116,0.079525781
RC_EW_4198,84,328,0.171505037
RC_EW_420,32,120,0.061224348
RC_EW_4202,35,271,0.071379021
RC_EW_4205,145,441,0.290862557
RC_EW_4208,10,108,0.020100703
RC_EW_4212,24,171,0.048220573
RC_EW_4213,51,127,0.101954511
RC_EW_4214,21,188,0.042081689
RC_EW_4220,83,255,0.166365325
RC_EW_4222,56,490,0.112685303
RC_EW_4224,60,56,0.120775971
